ssn	occupation	education	gender	salary
i120208008	engineering-worker	certificate-iv	f	68521
a104000205	construction-worker	certificate-ii	f	51258
d140101020	clerks	senior-secondary-school	f	38754
h122006306	machinary-driver	senior-secondary-school	m	10935
i103790002	chief-executive	graduate-diploma	f	199337
f140050348	factory-worker	senior-secondary-school	f	17352
i140800507	other-worker	certificate-ii	f	86728
h140805050	cleaner	secondary-school	f	19232
h102730606	engineering-worker	certificate-iv	f	82892
d114795000	cleaner	senior-secondary-school	f	16520
i188500310	engineering-worker	certificate-iii	f	94175
b171070192	carer	certificate-i	m	45469
i130041770	other-clerical-worker	senior-secondary-school	f	30072
d101190430	manager	masters-degree	m	193804
f154601103	carer	certificate-ii	f	57196
c110020667	un-employed	secondary-school	f	1716
e132197000	education-professional	advance-diploma	f	139092
d190805187	engineering-worker	certificate-ii	f	93748
h190517013	other-worker	certificate-iv	m	62081
d160410502	engineering-worker	certificate-iv	f	73188
g120039730	ict-technician	certificate-iv	f	115303
g124000611	automotive-worker	diploma	f	52957
a122237020	other-technician	bachelor-degree	f	127162
c113232100	other-service-worker	certificate-i	m	60613
i100136002	health-support-worker	certificate-ii	f	44787
e140810020	ict-technician	certificate-iv	m	108994
a192042008	engineering-worker	certificate-iv	f	86590
e126209708	construction-worker	diploma	m	81737
b174802605	ict-technician	certificate-iv	f	77321
i100187025	other-worker	diploma	m	78488
d123808092	health-professional	graduate-certificate	f	130103
e130201320	carer	certificate-ii	f	70958
f130594200	ict-technician	diploma	f	114193
b160120136	other-technician	certificate-iii	m	84269
a127031130	ict-professional	graduate-certificate	m	95970
f135703002	education-professional	graduate-certificate	m	149397
e174406302	health-professional	bachelor-degree	m	148708
b120703860	health-support-worker	certificate-i	f	69975
d103963860	legislator	masters-degree	f	116405
b179080438	health-professional	graduate-certificate	m	147862
f100003907	ict-technician	certificate-iv	f	79750
g106971310	clerks	certificate-i	f	42052
h107309039	construction-worker	diploma	m	58508
d111804500	casual-worker	secondary-school	f	6188
a128140405	legislator	graduate-diploma	m	153322
a140384074	construction-worker	certificate-ii	m	53166
a105400548	other-technician	advance-diploma	m	112659
c107477640	taxi-driver	senior-secondary-school	f	12987
c160044296	engineering-worker	certificate-iv	m	61193
h185480590	factory-worker	senior-secondary-school	f	17606
a198547800	other-technician	certificate-iii	f	138078
f190974109	farm-worker	senior-secondary-school	f	14361
d153700060	health-professional	advance-diploma	f	104499
a150024400	automotive-worker	certificate-iii	m	52705
e155300764	other-worker	certificate-iv	m	84757
a150734208	clerks	certificate-i	f	47500
g103280055	ict-technician	advance-diploma	f	77757
a188020656	legislator	masters-degree	m	151439
d132575600	other-worker	certificate-iii	f	72073
a184015980	manager	doctoral-degree	m	151254
h108850598	construction-worker	diploma	f	93579
e154029006	ict-technician	diploma	f	71095
h140309559	machinary-driver	senior-secondary-school	f	11210
g109600600	ict-technician	bachelor-degree	m	89339
d107705610	taxi-driver	senior-secondary-school	m	16737
a100600797	personal-services-worker	certificate-i	m	60084
e116704660	legal-professional	bachelor-degree	f	125263
e160086713	health-professional	advance-diploma	m	131282
h126864010	art-media-professional	graduate-diploma	f	104267
d112560406	ict-technician	bachelor-degree	f	147841
h152160082	education-professional	bachelor-degree	m	101611
f103886097	construction-labourer	secondary-school	f	14220
f156176040	other-worker	certificate-iii	m	87190
i116200753	automotive-worker	certificate-iii	f	68808
